Title,Language,Author,Price,ImageURL
最新 Java 程式語言 修訂第七版,中文書,施威銘研究室,537 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/091/85/0010918576.jpg
新觀念 Visual C# 程式設計範例教本(第五版),中文書,陳會安,489 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/41/0010834192.jpg
易讀程式之美學：提升程式碼可讀性的簡單法則,中文書,Dustin Boswell、Trevor Foucher,379 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/058/48/0010584840.jpg
Python 刷題鍛鍊班：老手都刷過的50道程式題，求職面試最給力(附 Jupyter Notebook / Python Tutor 範例程式及原作者177分鐘線上教學影片),中文書,Reuven M. Lerner,379 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/84/0010888495.jpg
絕對會Python用場!驚人的程式妙用,中文書,陳思涵,537 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/097/26/0010972617.jpg
C++程式設計入門(第二版),中文書,黃建庭,387 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/081/66/0010816646.jpg
從零開始!Java 程式設計入門,中文書,洪國勝,458 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/079/54/0010795433.jpg
完全圖解Python程式設計,中文書,Carol Vorderman,405 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/081/43/0010814353.jpg
Python零基礎入門班(第四版)：一次打好程式設計、運算思維與邏輯訓練基本功(加贈「ChatGPT學Python入門」影音),中文書,文淵閣工作室,308 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/096/14/0010961496.jpg
Python機器學習與深度學習特訓班(第二版)：看得懂也會做的AI人工智慧實戰(附120分鐘影音教學/範例程式),中文書,文淵閣工作室,410 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/89/0010888957.jpg
程式設計守則|如何寫出更好的程式碼,中文書,Chris Zimmerman,489 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/42/0010984280.jpg
Real Python 人氣站長教你動手寫程式 - 不說教也能心領神會的引導式實作課,中文書,Dan Bader,592 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/52/0010955256.jpg
Python小專案大集合：提升功力的81個簡單有趣小程式,中文書,Al Sweigart,540 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/86/0010928655.jpg
iOS 11 App程式設計實戰心法：30個開發專業級iOS App的必學主題與實務講座,中文書,Simon Ng,765 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/077/48/0010774865.jpg
重構：改善.NET與C#應用程式的設計，償還欠下的技術債(使用GitHub Copilot與Visual Studio),中文書,Matt Eland,671 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/47/0010984766.jpg
Working Effectively with Legacy Code中文版：管理、修改、重構遺留程式碼的藝術,中文書,MICHAEL C. FEATHERS,568 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/94/0010829482.jpg
Google的軟體工程之道|從程式設計經驗中吸取教訓,中文書,Hyrum Wright,695 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/87/0010938794.jpg
AI 神助攻!程式設計新境界：GitHub Copilot 開發 Python 如虎添翼 : 提示工程、問題分解、測試案例、除錯,中文書,Daniel Zingaro,442 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/63/0010986300.jpg
Python實戰聖經：用簡單強大的模組套件完成最強應用(附影音/範例程式),中文書,文淵閣工作室,522 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/090/60/0010906039.jpg
編程ING：人人都能學會程式設計,中文書,蔡學鏞,351 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/055/36/0010553610.jpg
全民學程式設計：從插畫學C語言,中文書,株式会社アンク,300 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/077/73/0010777399.jpg
Python網頁程式交易APP實作：Web + MySQL + Django(第二版),中文書,林萍珍,621 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/079/43/0010794347.jpg
Scratch2.0競賽主題程式設計含各縣市比賽分析 - 附贈250分鐘影音教學 - 最新版,中文書,王麗君,288 元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/072/25/0010722557.jpg
