Title,Language,Author,Price,Image URL
由重構學習C++程式設計,中文書,劉邦鋒,790元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/86/0010958680.jpg&w=187&h=187&v=64708b90
培養與鍛鍊程式設計的邏輯腦：世界級程式設計大賽的知識、心得與解題分享 [第二版],中文書,"北川宜稔, 岩田陽一, 秋葉拓哉",468元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/061/69/0010616945.jpg&w=187&h=187&v=5280b1be
程式設計邏輯訓練超簡單 Scratch 3初學特訓班(附330分鐘影音教學/範例檔),中文書,"文淵閣工作室, 鄧文淵",284元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/50/0010825027.jpg&w=187&h=187&v=5cfe3167
無瑕的程式碼 敏捷完整篇：物件導向原則、設計模式與C#實踐,中文書,"Micah Martin, Robert C. Martin, 孫鳴, 鄧輝",624元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/075/33/0010753373.jpg&w=187&h=187&v=591d77c4
由片語學習C程式設計(第二版),中文書,劉邦鋒,592元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/31/0010833175.jpg&w=187&h=187&v=5d67a95e
[全圖解] 寫給所有人的運算思維入門：5堂基礎課程+演算法練習，邊做邊學，建構邏輯思考、培養程式設計核心能力的原理和應用,中文書,"草野俊彥, 陳彩華",300元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/97/0010839715.jpg&w=187&h=187&v=5dca31cb
Android App程式設計教本之無痛起步：使用 Android Studio 2.X 開發環境,中文書,施威銘,458元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/074/46/0010744686.jpg&w=187&h=187&v=58a42dc4
Python 技術者們：練功!老手帶路教你精通正宗 Python程式,中文書,"Naomi Ceder, 張耀鴻",616元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/48/0010834816.jpg&w=187&h=187&v=5d82073a
一步到位!Python程式設計-最強入門教科書 第三版,中文書,陳惠貞,497元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/59/0010925961.jpg&w=187&h=187&v=628b6235
邊玩邊學程式設計：30堂Python創意程式課，輕鬆掌握程式語言，培養運算思維!,中文書,"希娜‧瓦帝耶納坦, 屠建明",299元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/44/0010834440.jpg&w=187&h=187&v=5d7a1e2a
重構(第二版)：改善既有程式的設計,中文書,"Martin Fowler, 賴屹民",720元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/58/0010825896.jpg&w=187&h=187&v=5d0a00c4
Scratch 3.0程式設計好好玩：初學者感到安心的步驟式教學，培養邏輯思維，算數、遊戲、畫圖、配樂全都辦得到，英國DK出版社最新全球版,中文書,"克雷格．斯蒂爾, 凱蘿．沃德曼, 喬恩．伍德考克, 黃鐘瑩",355元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/084/51/0010845101.jpg&w=187&h=187&v=5fe6b993
人人都能學會寫程式：李家同教你用邏輯思考學程式設計,中文書,李家同,432元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/050/98/0010509876.jpg&w=187&h=187&v=4dfb2f01
用Python學AI理論與程式實作(涵蓋Certiport ITS AI國際認證模擬試題),中文書,"李啟龍, 陳威達",458元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/34/0010983469.jpg&w=187&h=187&v=65d873f5
Unity 遊戲設計：程式基礎、操作祕訣、製作流程、關卡設計全攻略,中文書,"北村愛実, 蔡斐如",497元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/096/50/0010965037.jpg&w=187&h=187&v=64ccd360
Scratch超人氣遊戲大改造：動腦想、動手玩，讓程式與遊戲設計都變有趣!,中文書,"Asobism, 吳嘉芳",387元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/090/25/0010902561.jpg&w=187&h=187&v=6135edb2
APCS大學程式設計先修檢測最強考衝特訓班：C/C++解題攻略,中文書,"文淵閣工作室, 鄧文淵",237元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/080/73/0010807303.jpg&w=187&h=187&v=5bfe6e90
Python與LINE Bot機器人全面實戰特訓班：Flask最強應用(附210分鐘影音教學/範例程式),中文書,文淵閣工作室,434元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/34/0010883495.jpg&w=187&h=187&v=6013e3b1
Matlab程式設計(第2版) (附1光碟片),中文書,洪維恩,646元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/061/09/0010610983.jpg&w=187&h=187&v=52401926
最新 Java程式語言 修訂第七版,中文書,施威銘研究室,537元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/091/85/0010918576.jpg&w=187&h=187&v=62204450
新觀念 Visual C#程式設計範例教本(第五版),中文書,陳會安,489元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/083/41/0010834192.jpg&w=187&h=187&v=5d777b30
易讀程式之美學：提升程式碼可讀性的簡單法則,中文書,"Dustin Boswell、Trevor Foucher, 莊弘祥",379元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/058/48/0010584840.jpg&w=187&h=187&v=51767ef1
Python 刷題鍛鍊班：老手都刷過的50道程式題，求職面試最給力(附 Jupyter Notebook / Python Tutor 範例程式及原作者177分鐘線上教學影片),中文書,"Reuven M. Lerner, 施威銘研究室",379元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/84/0010888495.jpg&w=187&h=187&v=60644f74
絕對會Python用場!驚人的程式妙用,中文書,陳思涵,537元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/097/26/0010972617.jpg&w=187&h=187&v=6540d73f
C++程式設計入門(第二版),中文書,黃建庭,387元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/081/66/0010816646.jpg&w=187&h=187&v=5c878a73
從零開始!Java程式設計入門,中文書,洪國勝,458元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/079/54/0010795433.jpg&w=187&h=187&v=5b642ecb
完全圖解Python程式設計,中文書,"Carol Vorderman, 黃詩涵",405元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/081/43/0010814353.jpg&w=187&h=187&v=5c653550
Python零基礎入門班(第四版)：一次打好程式設計、運算思維與邏輯訓練基本功(加贈「ChatGPT學Python入門」影音),中文書,文淵閣工作室,308元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/096/14/0010961496.jpg&w=187&h=187&v=649eaec7
Python機器學習與深度學習特訓班(第二版)：看得懂也會做的AI人工智慧實戰(附120分鐘影音教學/範例程式),中文書,文淵閣工作室,410元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/088/89/0010888957.jpg&w=187&h=187&v=606d89e9
程式設計守則|如何寫出更好的程式碼,中文書,"Chris Zimmerman, 藍子軒",489元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/42/0010984280.jpg&w=187&h=187&v=65e997c1
Real Python 人氣站長教你動手寫程式- 不說教也能心領神會的引導式實作課,中文書,"Dan Bader, David Amos, Fletcher Heisler, Joanna Jablonski, 蔣佑仁",592元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/095/52/0010955256.jpg&w=187&h=187&v=643d2051
Python小專案大集合：提升功力的81個簡單有趣小程式,中文書,"Al Sweigart, 江玠峰",540元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/092/86/0010928655.jpg&w=187&h=187&v=62b440b0
iOS 11 App程式設計實戰心法：30個開發專業級iOS App的必學主題與實務講座,中文書,"Simon Ng, 王豪勳",765元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/077/48/0010774865.jpg&w=187&h=187&v=5a40e13c
重構：改善.NET與C#應用程式的設計，償還欠下的技術債(使用GitHub Copilot與Visual Studio),中文書,"Matt Eland, AI人工智慧小組(GPT、博碩編輯室)",671元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/47/0010984766.jpg&w=187&h=187&v=65f18089
Working Effectively with Legacy Code中文版：管理、修改、重構遺留程式碼的藝術,中文書,"MICHAEL C. FEATHERS, 劉未鵬",568元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/082/94/0010829482.jpg&w=187&h=187&v=5d36efc6
Google的軟體工程之道|從程式設計經驗中吸取教訓,中文書,"Hyrum Wright, Titus Winters, Tom Manshreck, 蔣大偉",695元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/87/0010938794.jpg&w=187&h=187&v=6347f6d2
AI 神助攻!程式設計新境界：GitHub Copilot 開發 Python 如虎添翼 : 提示工程、問題分解、測試案例、除錯,中文書,"Daniel Zingaro, Leo Porter, 施威銘研究室",442元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/098/63/0010986300.jpg&w=187&h=187&v=660a8d07
Python實戰聖經：用簡單強大的模組套件完成最強應用(附影音/範例程式),中文書,"文淵閣工作室, 鄧文淵",522元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/090/60/0010906039.jpg&w=187&h=187&v=616806e1
編程ING：人人都能學會程式設計,中文書,蔡學鏞,351元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/055/36/0010553610.jpg&w=187&h=187&v=500953cf
全民學程式設計：從插畫學C語言,中文書,"株式会社アンク, 林克鴻",300元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/077/73/0010777399.jpg&w=187&h=187&v=5a61c8aa
Python網頁程式交易APP實作：Web + MySQL + Django(第二版),中文書,林萍珍,621元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/079/43/0010794347.jpg&w=187&h=187&v=5b56f1c0
Scratch2.0競賽主題程式設計含各縣市比賽分析 - 附贈250分鐘影音教學 - 最新版,中文書,王麗君,288元,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/072/25/0010722557.jpg&w=187&h=187&v=5788bb2f
